run_id,strategy,cleaning,embedder_type,embedder_model,chunk_size,overlap,max_tokens,min_tokens,num_chunks,hit@1,hit@3,hit@5,mrr,avg_first_rank,run_dir
20260224_160325,naive_tokens,basic,tfidf,,300,50,,,204,0.18181818181818182,0.5454545454545454,0.6666666666666666,0.36414141414141404,2.4545454545454546,results\runs\docproc_20260224_160325
20260224_160500,naive_tokens,basic,tfidf,,300,50,,,204,0.18181818181818182,0.5454545454545454,0.6666666666666666,0.36414141414141404,2.4545454545454546,results\runs\docproc_20260224_160500
20260224_160501,naive_tokens,basic,tfidf,,500,100,,,135,0.2727272727272727,0.5151515151515151,0.6060606060606061,0.4,2.05,results\runs\docproc_20260224_160501
20260224_160502,naive_tokens,basic,tfidf,,800,100,,,86,0.24242424242424243,0.5151515151515151,0.6060606060606061,0.3732323232323233,2.25,results\runs\docproc_20260224_160502
20260224_160503,structured_headings,basic,tfidf,,,,800,120,295,0.030303030303030304,0.30303030303030304,0.48484848484848486,0.18383838383838383,3.125,results\runs\docproc_20260224_160503
20260224_160504,tree_parent_child,basic,tfidf,,450,100,900,,342,0.06060606060606061,0.36363636363636365,0.36363636363636365,0.17676767676767677,2.4166666666666665,results\runs\docproc_20260224_160504
20260224_160559,naive_tokens,basic,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,,,204,0.24242424242424243,0.3939393939393939,0.5757575757575758,0.3570707070707071,2.3157894736842106,results\runs\docproc_20260224_160559
20260224_160612,naive_tokens,basic,sentence_transformers,BAAI/bge-small-en-v1.5,500,100,,,135,0.2727272727272727,0.5454545454545454,0.696969696969697,0.4136363636363637,2.391304347826087,results\runs\docproc_20260224_160612
20260224_160623,naive_tokens,basic,sentence_transformers,BAAI/bge-small-en-v1.5,800,100,,,86,0.24242424242424243,0.42424242424242425,0.6060606060606061,0.35404040404040404,2.55,results\runs\docproc_20260224_160623
20260224_160636,structured_headings,basic,sentence_transformers,BAAI/bge-small-en-v1.5,,,800,120,295,0.15151515151515152,0.45454545454545453,0.6060606060606061,0.3176767676767677,2.55,results\runs\docproc_20260224_160636
20260224_160656,tree_parent_child,basic,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,900,,342,0.15151515151515152,0.5151515151515151,0.5151515151515151,0.30808080808080807,2.0,results\runs\docproc_20260224_160656
20260224_160658,naive_tokens,basic,tfidf,,300,50,,,204,0.18181818181818182,0.5454545454545454,0.6666666666666666,0.36414141414141404,2.4545454545454546,results\runs\docproc_20260224_160658
20260224_160659,naive_tokens,basic,tfidf,,500,100,,,135,0.2727272727272727,0.5151515151515151,0.6060606060606061,0.4,2.05,results\runs\docproc_20260224_160659
20260224_160700,naive_tokens,basic,tfidf,,800,100,,,86,0.24242424242424243,0.5151515151515151,0.6060606060606061,0.3732323232323233,2.25,results\runs\docproc_20260224_160700
20260224_160701,structured_headings,basic,tfidf,,,,800,120,295,0.030303030303030304,0.30303030303030304,0.48484848484848486,0.18383838383838383,3.125,results\runs\docproc_20260224_160701
20260224_160702,tree_parent_child,basic,tfidf,,450,100,900,,342,0.06060606060606061,0.36363636363636365,0.36363636363636365,0.17676767676767677,2.4166666666666665,results\runs\docproc_20260224_160702
20260224_160712,naive_tokens,deep,sentence_transformers,BAAI/bge-small-en-v1.5,300,50,,,97,0.36363636363636365,0.5151515151515151,0.6060606060606061,0.44696969696969696,1.85,results\runs\docproc_20260224_160712
20260224_160722,naive_tokens,deep,sentence_transformers,BAAI/bge-small-en-v1.5,500,100,,,57,0.24242424242424243,0.6666666666666666,0.7272727272727273,0.4515151515151515,2.0416666666666665,results\runs\docproc_20260224_160722
20260224_160730,naive_tokens,deep,sentence_transformers,BAAI/bge-small-en-v1.5,800,100,,,32,0.21212121212121213,0.5151515151515151,0.6060606060606061,0.3560606060606061,2.25,results\runs\docproc_20260224_160730
20260224_160740,structured_headings,deep,sentence_transformers,BAAI/bge-small-en-v1.5,,,800,120,88,0.30303030303030304,0.48484848484848486,0.5454545454545454,0.3924242424242424,1.8888888888888888,results\runs\docproc_20260224_160740
20260224_160754,tree_parent_child,deep,sentence_transformers,BAAI/bge-small-en-v1.5,450,100,900,,108,0.3333333333333333,0.5151515151515151,0.5151515151515151,0.4090909090909091,1.5294117647058822,results\runs\docproc_20260224_160754
20260224_160756,naive_tokens,deep,tfidf,,300,50,,,97,0.21212121212121213,0.45454545454545453,0.5757575757575758,0.3489898989898989,2.3157894736842106,results\runs\docproc_20260224_160756
20260224_160757,naive_tokens,deep,tfidf,,500,100,,,57,0.30303030303030304,0.48484848484848486,0.5757575757575758,0.3984848484848485,2.0526315789473686,results\runs\docproc_20260224_160757
20260224_160758,naive_tokens,deep,tfidf,,800,100,,,32,0.21212121212121213,0.36363636363636365,0.48484848484848486,0.29999999999999993,2.375,results\runs\docproc_20260224_160758
20260224_160759,structured_headings,deep,tfidf,,,,800,120,88,0.09090909090909091,0.36363636363636365,0.5757575757575758,0.25909090909090904,2.9473684210526314,results\runs\docproc_20260224_160759
20260224_160800,tree_parent_child,deep,tfidf,,450,100,900,,108,0.12121212121212122,0.45454545454545453,0.45454545454545453,0.25757575757575757,2.1333333333333333,results\runs\docproc_20260224_160800
